audio_time,solenoid,state
85.800000,18,1
85.816667,51,1
85.850000,53,0
85.883333,51,0
85.950000,54,1
86.016667,54,0
86.133333,6,1
86.266667,6,0
86.333333,54,1
86.400000,54,0
86.533333,9,1
86.666667,9,0
86.666667,10,1
86.800000,10,0
86.800000,14,1
86.933333,14,0
87.000000,12,1
87.133333,12,0
87.200000,13,1
87.316667,53,1
87.333333,13,0
87.383333,53,0
87.483333,54,1
87.550000,54,0
87.666667,6,1
87.800000,6,0
87.866667,9,1
87.933333,9,0
88.000000,10,1
88.066667,10,0
88.200000,14,1
88.266667,14,0
88.333333,12,1
88.400000,12,0
88.533333,13,1
88.600000,13,0
88.666667,1,1
88.733333,1,0
88.800000,2,1
88.933333,2,0
88.966667,54,1
89.033333,54,0
89.133333,54,1
89.200000,54,0
92.666667,17,0
92.666667,18,0
97.333333,33,1
97.333333,34,1
97.366667,33,0
97.450000,34,0
97.583333,33,1
97.583333,34,1
97.616667,33,0
97.733333,34,0
97.866667,33,1
97.866667,34,1
97.900000,33,0
98.000000,34,0
98.200000,5,1
98.266667,5,0
98.333333,16,1
98.400000,16,0
98.466667,3,1
98.466667,15,1
98.600000,3,0
98.933333,17,1
99.966667,52,1
100.183333,52,0
100.266667,15,0
100.366667,52,1
100.416667,52,0
100.600000,52,1
100.666667,52,0
100.850000,52,1
100.900000,52,0
101.083333,52,1
101.150000,52,0
101.333333,52,1
101.383333,52,0
101.533333,51,1
101.566667,52,1
101.633333,52,0
101.816667,51,0
101.983333,51,1
102.050000,51,0
102.233333,51,1
102.300000,51,0
102.466667,51,1
102.533333,51,0
102.716667,51,1
102.783333,51,0
102.950000,51,1
103.016667,51,0
103.033333,53,1
103.066667,18,1
103.100000,53,0
103.200000,51,1
103.216667,54,1
103.266667,51,0
103.283333,54,0
103.500000,54,1
103.566667,54,0
103.666667,6,1
103.800000,6,0
103.866667,9,1
104.000000,9,0
104.066667,10,1
104.133333,10,0
104.266667,14,1
104.333333,14,0
104.466667,12,1
104.533333,12,0
104.666667,13,1
104.733333,13,0
104.866667,1,1
104.933333,1,0
105.033333,53,1
105.100000,53,0
105.183333,54,1
105.250000,54,0
105.400000,6,1
105.533333,6,0
105.600000,9,1
105.666667,9,0
105.733333,10,1
105.800000,17,0
105.866667,10,0
105.933333,14,1
106.000000,14,0
106.066667,12,1
106.200000,12,0
106.200000,13,1
106.333333,13,0
106.400000,1,1
106.533333,1,0
106.533333,2,1
106.666667,2,0
106.733333,1,1
107.066667,1,0
107.116667,54,1
107.183333,54,0
107.283333,54,1
107.350000,54,0
109.933333,18,0
116.550000,33,1
116.550000,34,1
116.583333,33,0
116.666667,34,0
116.800000,33,1
116.800000,34,1
116.833333,33,0
116.950000,34,0
117.083333,33,1
117.083333,34,1
117.116667,33,0
117.216667,34,0
117.400000,5,1
117.533333,5,0
117.533333,16,1
117.666667,16,0
117.733333,3,1
117.866667,3,0
117.866667,4,1
118.000000,4,0
118.066667,15,1
118.333333,18,1
119.550000,52,1
119.750000,52,0
119.800000,52,1
119.866667,15,0
119.866667,52,0
120.050000,52,1
120.100000,52,0
120.283333,52,1
120.350000,52,0
120.533333,52,1
120.583333,52,0
120.766667,52,1
120.833333,52,0
121.016667,52,1
121.033333,51,1
121.066667,52,0
121.250000,52,1
121.283333,52,0
121.316667,51,0
121.500000,51,1
121.550000,51,0
121.733333,51,1
121.800000,51,0
121.983333,51,1
122.033333,51,0
122.216667,51,1
122.283333,51,0
122.466667,51,1
122.516667,51,0
122.616667,53,1
122.666667,17,1
122.683333,53,0
122.700000,51,1
122.766667,51,0
122.883333,54,1
122.950000,54,0
123.066667,6,1
123.200000,6,0
123.266667,9,1
123.400000,9,0
123.450000,54,1
123.516667,54,0
123.600000,10,1
123.733333,10,0
123.866667,14,1
123.933333,14,0
124.000000,12,1
124.133333,12,0
124.200000,13,1
124.266667,13,0
124.316667,53,1
124.383333,53,0
124.483333,54,1
124.550000,54,0
124.666667,6,1
124.800000,6,0
124.866667,9,1
125.000000,9,0
125.066667,2,1
125.133333,2,0
125.200000,10,1
125.333333,10,0
125.333333,14,1
125.466667,14,0
125.533333,12,1
125.666667,2,1
125.666667,12,0
126.066667,2,0
126.133333,13,1
126.200000,13,0
126.266667,1,1
126.333333,1,0
126.466667,2,1
126.533333,2,0
126.583333,54,1
126.650000,54,0
129.533333,17,0
130.533333,18,0
136.016667,33,1
136.016667,34,1
136.050000,33,0
136.133333,34,0
136.266667,33,1
136.266667,34,1
136.300000,33,0
136.416667,34,0
136.550000,33,1
136.550000,34,1
136.583333,33,0
136.666667,34,0
136.866667,5,1
137.000000,5,0
137.000000,16,1
137.133333,16,0
137.200000,3,1
137.333333,3,0
137.333333,4,1
137.466667,4,0
137.533333,15,1
138.950000,52,1
139.183333,52,0
139.333333,15,0
139.366667,52,1
139.433333,52,0
139.616667,52,1
139.666667,52,0
139.850000,52,1
139.900000,52,0
140.100000,52,1
140.150000,52,0
140.333333,52,1
140.383333,52,0
140.433333,51,1
