Ref,Val,Package,PosX,PosY,Rot,Side
"F107","5A S.B.","Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal",21.390000,-218.624000,0.000000,top
"F108","5A S.B.","Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal",21.390000,-204.038000,0.000000,top
"F109","5A S.B.","Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal",66.238000,-218.624000,0.000000,top
"F110","5A S.B.","Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal",66.238000,-233.211000,0.000000,top
"F111","5A S.B.","Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal",389.396000,-46.525000,0.000000,top
"F112","7A S.B.","Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal",389.396000,-61.614000,0.000000,top
"F113","5A S.B.","Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal",389.396000,-76.451000,0.000000,top
"F114","8A","Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal",389.396000,-91.373000,0.000000,top
"F115","3/4A S.B.","Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal",79.902000,-92.630000,0.000000,top
"F116","3A S.B.","Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal",57.255000,-29.102000,-90.000000,top
"FID1","FIDUCIAL","Fiducial_1mm_Mask2mm",5.000000,-34.000000,0.000000,top
"FID2","FIDUCIAL","Fiducial_1mm_Mask2mm",443.000000,-25.000000,0.000000,top
"FID3","FIDUCIAL","Fiducial_1mm_Mask2mm",5.000000,-253.000000,0.000000,top
"J101","J101 xformer 9VAC (Red) / 13VAC (Blu-Wht)","Molex_KK-396_A-41791-0007_1x07_P3.96mm_Vertical",431.968000,-101.288000,-90.000000,top
"J102","J102 xformer 16VAC (Wht-Red) / solenoid ~51VAC (Blk-Yel)","Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical",431.968000,-49.714000,-90.000000,top
"J103","J103 ground to 8-driver board (all four pins grounded as on A-12697 sheet 1, no key)","Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical",431.968000,-28.010000,-90.000000,top
"J104","J104 fused 51VAC (F112, pins 1/2) to Fliptronic II J901 and fused 16VAC (F111, pins 4/5), as A-12697 sheet 1","Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical",392.612000,-10.898000,0.000000,top
"J105","J105 fused 51VAC (F112, pins 1/2) and fused 16VAC (F111, pins 4/5) to the playfield - parallel to J104 as on A-12697 sheet 1 (N/C on STTNG)","Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical",392.612000,-33.531000,0.000000,top
"J106","J106 +20V to backbox flashlamps (pins 1-4 open, key 4)","Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical",214.309000,-11.736000,0.000000,top
"J107","J107 +50V (F103/F104/F105) and +20V (pins 5,6) to playfield","Molex_KK-396_A-41791-0006_1x06_P3.96mm_Vertical",207.886000,-33.950000,0.000000,top
"J108","J108 +50V (F103/F104/F105) to cabinet (N/C on STTNG)","Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical",194.797000,-11.736000,0.000000,top
"J109","J109 spare (N/C)","Molex_KK-396_A-41791-0007_1x07_P3.96mm_Vertical",149.154000,-11.736000,0.000000,top
"J110","J110 spare (N/C)","Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical",106.382000,-11.736000,0.000000,top
"J111","J111 G.I. latch spare bits T5-T7 (GPIO as on the original board, e.g. shot-clock drive; N/C on STTNG)","Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical",77.323000,-15.927000,0.000000,top
"J112","J112 xformer 9.8VAC (Wht-Grn)","Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical",51.430000,-11.736000,0.000000,top
