Designator,Mid X,Mid Y,Layer,Rotation
D116,30.400000,-19.000000,Top,90.000000
L1,253.161000,-66.787000,Top,270.000000
L2,127.602000,-77.287000,Top,270.000000
LED1,19.532000,-130.353000,Top,270.000000
LED2,63.542000,-60.356000,Top,270.000000
LED3,73.434000,-60.356000,Top,270.000000
LED4,186.015000,-88.439000,Top,270.000000
LED5,340.762000,-38.945000,Top,270.000000
LED6,342.258000,-98.498000,Top,270.000000
LED7,43.423000,-51.974000,Top,270.000000
Q9,140.496000,-208.423000,Top,270.000000
Q11,60.189000,-158.526000,Top,270.000000
Q13,97.744000,-131.720000,Top,270.000000
Q15,99.420000,-182.855000,Top,270.000000
Q17,140.496000,-156.868000,Top,270.000000
Q20,164.435000,-147.327000,Top,0.000000
Q22,164.435000,-173.733000,Top,0.000000
Q24,164.435000,-200.139000,Top,0.000000
Q26,164.435000,-226.545000,Top,0.000000
Q28,197.966000,-148.820000,Top,0.000000
Q30,197.966000,-175.226000,Top,0.000000
Q32,197.966000,-201.634000,Top,0.000000
Q34,197.966000,-228.038000,Top,0.000000
Q36,221.438000,-148.820000,Top,0.000000
Q38,221.438000,-175.226000,Top,0.000000
Q40,221.438000,-201.634000,Top,0.000000
Q42,221.438000,-228.038000,Top,0.000000
Q44,245.161000,-147.327000,Top,0.000000
Q46,245.161000,-173.733000,Top,0.000000
Q48,245.161000,-200.139000,Top,0.000000
Q50,245.161000,-226.545000,Top,0.000000
Q52,266.957000,-147.327000,Top,0.000000
Q54,266.957000,-173.733000,Top,0.000000
Q56,266.957000,-200.139000,Top,0.000000
Q58,266.957000,-226.545000,Top,0.000000
Q64,287.913000,-150.970000,Top,0.000000
Q66,287.913000,-176.532000,Top,0.000000
Q68,287.913000,-202.112000,Top,0.000000
Q70,287.913000,-227.680000,Top,0.000000
Q76,312.475000,-150.970000,Top,0.000000
Q78,312.475000,-176.532000,Top,0.000000
Q80,312.475000,-202.112000,Top,0.000000
Q82,312.475000,-227.680000,Top,0.000000
Q83,354.687000,-181.400000,Top,0.000000
Q84,354.512000,-198.254000,Top,0.000000
Q85,354.660000,-215.126000,Top,0.000000
Q86,354.512000,-231.986000,Top,0.000000
Q87,376.387000,-181.436000,Top,0.000000
Q88,376.511000,-198.260000,Top,0.000000
Q89,376.382000,-215.095000,Top,0.000000
Q90,376.511000,-231.972000,Top,0.000000
Q91,411.644000,-181.479000,Top,0.000000
Q92,411.644000,-198.343000,Top,0.000000
Q93,411.644000,-215.218000,Top,0.000000
Q94,411.644000,-232.061000,Top,0.000000
Q95,433.440000,-189.505000,Top,0.000000
Q96,433.440000,-206.369000,Top,0.000000
Q97,433.440000,-223.224000,Top,0.000000
Q98,433.510000,-240.089000,Top,0.000000
R3,74.462000,-71.972000,Top,0.000000
R4,69.052000,-69.997000,Top,0.000000
R6,75.758000,-68.022000,Top,0.000000
R7,140.496000,-214.312000,Top,0.000000
R8,120.378000,-114.972000,Top,0.000000
R9,140.496000,-203.493000,Top,0.000000
R10,60.189000,-164.436000,Top,0.000000
R11,120.378000,-118.878000,Top,0.000000
R12,60.189000,-153.646000,Top,0.000000
R13,97.744000,-137.609000,Top,0.000000
R14,120.378000,-122.793000,Top,0.000000
R15,97.744000,-126.790000,Top,0.000000
R16,99.420000,-188.745000,Top,0.000000
R17,120.378000,-126.743000,Top,0.000000
R18,99.420000,-177.925000,Top,0.000000
R19,140.496000,-162.758000,Top,0.000000
R20,120.378000,-130.657000,Top,0.000000
R21,140.496000,-151.938000,Top,0.000000
R22,163.382000,-136.913000,Top,0.000000
R23,163.382000,-140.863000,Top,0.000000
R26,163.382000,-163.318000,Top,0.000000
R27,163.382000,-167.268000,Top,0.000000
R30,163.382000,-189.718000,Top,0.000000
R31,163.382000,-193.668000,Top,0.000000
R34,163.382000,-216.130000,Top,0.000000
R35,163.382000,-220.080000,Top,0.000000
R38,196.913000,-138.396000,Top,0.000000
R39,196.913000,-142.346000,Top,0.000000
R42,196.913000,-164.802000,Top,0.000000
R43,196.913000,-168.752000,Top,0.000000
R46,196.913000,-191.215000,Top,0.000000
R47,196.913000,-195.165000,Top,0.000000
R50,196.913000,-217.614000,Top,0.000000
R51,196.913000,-221.564000,Top,0.000000
R54,220.385000,-138.396000,Top,0.000000
R55,220.385000,-142.346000,Top,0.000000
R58,220.385000,-164.802000,Top,0.000000
R59,220.385000,-168.752000,Top,0.000000
R62,220.385000,-191.215000,Top,0.000000
R63,220.385000,-195.165000,Top,0.000000
R66,220.385000,-217.614000,Top,0.000000
R67,220.385000,-221.564000,Top,0.000000
R70,244.108000,-136.913000,Top,0.000000
R71,244.108000,-140.863000,Top,0.000000
R74,244.108000,-163.318000,Top,0.000000
R75,244.108000,-167.268000,Top,0.000000
R78,244.108000,-189.718000,Top,0.000000
R79,244.108000,-193.668000,Top,0.000000
R82,244.108000,-216.130000,Top,0.000000
R83,244.108000,-220.080000,Top,0.000000
R86,265.904000,-136.913000,Top,0.000000
R87,265.904000,-140.863000,Top,0.000000
R90,265.904000,-163.318000,Top,0.000000
R91,265.904000,-167.268000,Top,0.000000
R94,265.904000,-189.718000,Top,0.000000
R95,265.904000,-193.668000,Top,0.000000
R98,265.904000,-216.130000,Top,0.000000
