Designator,Parent,Quantity_per_board,Value,MPN,Manufacturer,Footprint,JLCPCB_part,Library,Assembly,Assembly_note
D6,D6,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT,
D7,D7,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT,
D8,D8,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT,
D9,D9,1,M7,M7,MDD(Microdiode Semiconductor),Diode_SMD:D_SMA,C95872,Basic,SMT,
D10,D10,1,M7,M7,MDD(Microdiode Semiconductor),Diode_SMD:D_SMA,C95872,Basic,SMT,
D11,D11,1,M7,M7,MDD(Microdiode Semiconductor),Diode_SMD:D_SMA,C95872,Basic,SMT,
D12,D12,1,M7,M7,MDD(Microdiode Semiconductor),Diode_SMD:D_SMA,C95872,Basic,SMT,
D17,D17,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT,
D18,D18,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT,
D19,D19,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT,
D20,D20,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT,
D21,D21,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT,
D22,D22,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT,
D23,D23,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT,
D24,D24,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT,
D25,D25,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT,
D26,D26,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT,
D27,D27,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT,
D28,D28,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT,
D29,D29,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT,
D30,D30,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT,
D31,D31,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT,
D32,D32,1,S3M-13-F,S3M-13-F,Diodes Incorporated,Diode_SMD:D_SMC,C460944,Extended,SMT,
D33,D33,1,1N4148W,1N4148W,ST(Semtech),Diode_SMD:D_SOD-123,C81598,Basic,SMT,
D34,D34,1,1N4148W,1N4148W,ST(Semtech),Diode_SMD:D_SOD-123,C81598,Basic,SMT,
