 time            v(vout)         v(vinf)         v(en)           i(L1)          
 1.01000000e-04  4.10128368e-13  1.31591278e-03  2.09713995e-02  1.32893751e-10 
 1.02000000e-04  9.40909494e-13  1.46517274e-03  2.09912649e-02  1.47967652e-10 
 1.03000000e-04  1.52816187e-12  1.62964266e-03  2.10131552e-02  1.64577666e-10 
 1.04000000e-04  2.17688095e-12  1.81052058e-03  2.10372301e-02  1.82844796e-10 
 1.05000000e-04  2.89230940e-12  2.00903187e-03  2.10636529e-02  2.02892808e-10 
 1.06000000e-04  3.67991571e-12  2.22641760e-03  2.10925889e-02  2.24847051e-10 
 1.07000000e-04  4.54536721e-12  2.46392136e-03  2.11242039e-02  2.48833135e-10 
 1.08000000e-04  5.49449782e-12  2.72277465e-03  2.11586622e-02  2.74975446e-10 
 1.09000000e-04  6.53327119e-12  3.00418129e-03  2.11961242e-02  3.03395579e-10 
 1.10000000e-04  7.66773995e-12  3.30930131e-03  2.12367447e-02  3.34210704e-10 
 1.11000000e-04  8.90400222e-12  3.63923472e-03  2.12806705e-02  3.67531935e-10 
 1.12000000e-04  1.02481565e-11  3.99500589e-03  2.13280382e-02  4.03462740e-10 
 1.13000000e-04  1.17062565e-11  4.37754891e-03  2.13789727e-02  4.42097477e-10 
 1.14000000e-04  1.32842672e-11  4.78769475e-03  2.14335849e-02  4.83520084e-10 
 1.15000000e-04  1.49880236e-11  5.22616041e-03  2.14919706e-02  5.27802988e-10 
 1.16000000e-04  1.68231936e-11  5.69354062e-03  2.15542094e-02  5.75006271e-10 
 1.17000000e-04  1.87952452e-11  6.19030237e-03  2.16203639e-02  6.25177108e-10 
 1.18000000e-04  2.09094204e-11  6.71678221e-03  2.16904792e-02  6.78349500e-10 
 1.19000000e-04  2.31707141e-11  7.27318646e-03  2.17645830e-02  7.34544294e-10 
 1.20000000e-04  2.55838598e-11  7.85959404e-03  2.18426863e-02  7.93769471e-10 
 1.21000000e-04  2.81533215e-11  8.47596180e-03  2.19247835e-02  8.56020675e-10 
 1.22000000e-04  3.08832911e-11  9.12213176e-03  2.20108537e-02  9.21281958e-10 
 1.23000000e-04  3.37776904e-11  9.79784006e-03  2.21008622e-02  9.89526675e-10 
 1.24000000e-04  3.68401779e-11  1.05027271e-02  2.21947610e-02  1.06071851e-09 
 1.25000000e-04  4.00741587e-11  1.12363484e-02  2.22924912e-02  1.13481257e-09 
 1.26000000e-04  4.34827974e-11  1.19981858e-02  2.23939838e-02  1.21175653e-09 
 1.27000000e-04  4.70690328e-11  1.27876587e-02  2.24991616e-02  1.29149174e-09 
 1.28000000e-04  5.08355930e-11  1.36041352e-02  2.26079403e-02  1.37395437e-09 
 1.29000000e-04  5.47850123e-11  1.44469420e-02  2.27202304e-02  1.45907645e-09 
 1.30000000e-04  5.89196472e-11  1.53153747e-02  2.28359379e-02  1.54678679e-09 
 1.31000000e-04  6.32416924e-11  1.62087062e-02  2.29549659e-02  1.63701199e-09 
 1.32000000e-04  6.77531960e-11  1.71261951e-02  2.30772157e-02  1.72967715e-09 
 1.33000000e-04  7.24560739e-11  1.80670923e-02  2.32025873e-02  1.82470660e-09 
 1.34000000e-04  7.73521232e-11  1.90306476e-02  2.33309806e-02  1.92202457e-09 
 1.35000000e-04  8.24430343e-11  2.00161145e-02  2.34622962e-02  2.02155568e-09 
 1.36000000e-04  8.77304021e-11  2.10227551e-02  2.35964356e-02  2.12322538e-09 
 1.37000000e-04  9.32157362e-11  2.20498435e-02  2.37333020e-02  2.22696037e-09 
 1.38000000e-04  9.89004695e-11  2.30966689e-02  2.38728005e-02  2.33268883e-09 
 1.39000000e-04  1.04785967e-10  2.41625380e-02  2.40148385e-02  2.44034075e-09 
 1.40000000e-04  1.10873530e-10  2.52467766e-02  2.41593262e-02  2.54984804e-09 
 1.41000000e-04  1.17164409e-10  2.63487313e-02  2.43061763e-02  2.66114469e-09 
 1.42000000e-04  1.23659800e-10  2.74677702e-02  2.44553045e-02  2.77416687e-09 
 1.43000000e-04  1.30360856e-10  2.86032835e-02  2.46066294e-02  2.88885302e-09 
 1.44000000e-04  1.37268691e-10  2.97546841e-02  2.47600725e-02  3.00514381e-09 
 1.45000000e-04  1.44384379e-10  3.09214073e-02  2.49155584e-02  3.12298222e-09 
 1.46000000e-04  1.51708961e-10  3.21029109e-02  2.50730148e-02  3.24231347e-09 
 1.47000000e-04  1.59243448e-10  3.32986747e-02  2.52323722e-02  3.36308503e-09 
 1.48000000e-04  1.66988820e-10  3.45082005e-02  2.53935639e-02  3.48524658e-09 
 1.49000000e-04  1.74946033e-10  3.57310110e-02  2.55565262e-02  3.60874990e-09 
 1.50000000e-04  1.83116017e-10  3.69666497e-02  2.57211981e-02  3.73354889e-09 
 1.51000000e-04  1.91499679e-10  3.82146799e-02  2.58875212e-02  3.85959945e-09 
 1.52000000e-04  2.00097904e-10  3.94746844e-02  2.60554397e-02  3.98685942e-09 
 1.53000000e-04  2.08911557e-10  4.07462642e-02  2.62249002e-02  4.11528851e-09 
 1.54000000e-04  2.17941485e-10  4.20290384e-02  2.63958517e-02  4.24484826e-09 
 1.55000000e-04  2.27188516e-10  4.33226430e-02  2.65682456e-02  4.37550189e-09 
 1.56000000e-04  2.36653459e-10  4.46267307e-02  2.67420352e-02  4.50721432e-09 
 1.57000000e-04  2.46337109e-10  4.59409693e-02  2.69171761e-02  4.63995201e-09 
 1.58000000e-04  2.56240244e-10  4.72650420e-02  2.70936257e-02  4.77368294e-09 
 1.59000000e-04  2.66363629e-10  4.85986459e-02  2.72713435e-02  4.90837655e-09 
 1.60000000e-04  2.76708012e-10  4.99414920e-02  2.74502905e-02  5.04400361e-09 
 1.61000000e-04  2.87274127e-10  5.12933040e-02  2.76304297e-02  5.18053623e-09 
 1.62000000e-04  2.98062698e-10  5.26538178e-02  2.78117256e-02  5.31794776e-09 
 1.63000000e-04  3.09074433e-10  5.40227814e-02  2.79941441e-02  5.45621271e-09 
 1.64000000e-04  3.20310028e-10  5.53999536e-02  2.81776527e-02  5.59530673e-09 
 1.65000000e-04  3.31770169e-10  5.67851039e-02  2.83622202e-02  5.73520654e-09 
 1.66000000e-04  3.43455528e-10  5.81780119e-02  2.85478170e-02  5.87588988e-09 
 1.67000000e-04  3.55366768e-10  5.95784667e-02  2.87344143e-02  6.01733544e-09 
 1.68000000e-04  3.67504539e-10  6.09862665e-02  2.89219847e-02  6.15952285e-09 
 1.69000000e-04  3.79869482e-10  6.24012182e-02  2.91105019e-02  6.30243261e-09 
 1.70000000e-04  3.92462227e-10  6.38231369e-02  2.92999408e-02  6.44604602e-09 
 1.71000000e-04  4.05283394e-10  6.52518454e-02  2.94902769e-02  6.59034521e-09 
 1.72000000e-04  4.18333594e-10  6.66871741e-02  2.96814870e-02  6.73531304e-09 
 1.73000000e-04  4.31613429e-10  6.81289604e-02  2.98735486e-02  6.88093307e-09 
 1.74000000e-04  4.45123491e-10  6.95770483e-02  3.00664401e-02  7.02718957e-09 
 1.75000000e-04  4.58864363e-10  7.10312882e-02  3.02601407e-02  7.17406742e-09 
 1.76000000e-04  4.72836620e-10  7.24915368e-02  3.04546302e-02  7.32155213e-09 
 1.77000000e-04  4.87040828e-10  7.39576563e-02  3.06498892e-02  7.46962981e-09 
 1.78000000e-04  5.01477547e-10  7.54295146e-02  3.08458990e-02  7.61828709e-09 
 1.79000000e-04  5.16147326e-10  7.69069846e-02  3.10426414e-02  7.76751115e-09 
 1.80000000e-04  5.31050708e-10  7.83899443e-02  3.12400986e-02  7.91728967e-09 
 1.81000000e-04  5.46188229e-10  7.98782766e-02  3.14382538e-02  8.06761080e-09 
 1.82000000e-04  5.61560416e-10  8.13718687e-02  3.16370901e-02  8.21846317e-09 
 1.83000000e-04  5.77167791e-10  8.28706122e-02  3.18365914e-02  8.36983583e-09 
 1.84000000e-04  5.93010867e-10  8.43744027e-02  3.20367419e-02  8.52171822e-09 
 1.85000000e-04  6.09090151e-10  8.58831400e-02  3.22375262e-02  8.67410023e-09 
 1.86000000e-04  6.25406144e-10  8.73967272e-02  3.24389291e-02  8.82697208e-09 
 1.87000000e-04  6.41959341e-10  8.89150714e-02  3.26409357e-02  8.98032436e-09 
 1.88000000e-04  6.58750229e-10  9.04380828e-02  3.28435315e-02  9.13414803e-09 
 1.89000000e-04  6.75779291e-10  9.19656750e-02  3.30467021e-02  9.28843435e-09 
 1.90000000e-04  6.93047002e-10  9.34977647e-02  3.32504331e-02  9.44317489e-09 
 1.91000000e-04  7.10553832e-10  9.50342713e-02  3.34547105e-02  9.59836155e-09 
 1.92000000e-04  7.28300247e-10  9.65751175e-02  3.36595203e-02  9.75398649e-09 
 1.93000000e-04  7.46286705e-10  9.81202283e-02  3.38648484e-02  9.91004214e-09 
 1.94000000e-04  7.64513660e-10  9.96695315e-02  3.40706807e-02  1.00665212e-08 
 1.95000000e-04  7.82981560e-10  1.01222957e-01  3.42770033e-02  1.02234167e-08 
 1.96000000e-04  8.01690850e-10  1.02780438e-01  3.44838020e-02  1.03807217e-08 
 1.97000000e-04  8.20641967e-10  1.04341910e-01  3.46910624e-02  1.05384297e-08 
 1.98000000e-04  8.39835345e-10  1.05907308e-01  3.48987700e-02  1.06965343e-08 
