 time            v(vout)         v(vinf)         v(en)           i(L1)          
 0.00000000e+00  1.19999998e+01 -7.00313214e-07  5.18776596e-05 -4.10731170e-07 
 8.80000000e-05  6.59683852e+00  2.51464649e+00  3.56879199e-01 -4.79623169e+01 
 8.90000000e-05  6.52392062e+00  2.51960074e+00  3.57540571e-01 -4.79968540e+01 
 9.00000000e-05  6.45113876e+00  2.52416061e+00  3.58149353e-01 -4.80234011e+01 
 9.10000000e-05  6.37850229e+00  2.52833115e+00  3.58706223e-01 -4.80420712e+01 
 9.20000000e-05  6.30602039e+00  2.53211740e+00  3.59211852e-01 -4.80529765e+01 
 9.30000000e-05  6.23370209e+00  2.53552441e+00  3.59666911e-01 -4.80562291e+01 
 9.40000000e-05  6.16155629e+00  2.53855719e+00  3.60072070e-01 -4.80519404e+01 
 9.50000000e-05  6.08959168e+00  2.54122073e+00  3.60427996e-01 -4.80402214e+01 
 9.60000000e-05  6.01781683e+00  2.54352004e+00  3.60735352e-01 -4.80211828e+01 
 9.70000000e-05  5.94624016e+00  2.54546007e+00  3.60994803e-01 -4.79949346e+01 
 9.80000000e-05  5.87486990e+00  2.54704579e+00  3.61207009e-01 -4.79615865e+01 
 9.90000000e-05  5.80371417e+00  2.54828212e+00  3.61372627e-01 -4.79212475e+01 
 1.00000000e-04  5.73278091e+00  2.54917400e+00  3.61492313e-01 -4.78740263e+01 
 1.01000000e-04  5.66207792e+00  2.54972631e+00  3.61566720e-01 -4.78200309e+01 
 1.02000000e-04  5.59161284e+00  2.54994394e+00  3.61596500e-01 -4.77593689e+01 
 1.03000000e-04  5.52139317e+00  2.54983175e+00  3.61582301e-01 -4.76921474e+01 
 1.04000000e-04  5.45142627e+00  2.54939459e+00  3.61524769e-01 -4.76184727e+01 
 1.05000000e-04  5.38171933e+00  2.54863728e+00  3.61424546e-01 -4.75384510e+01 
 1.06000000e-04  5.31227942e+00  2.54756462e+00  3.61282272e-01 -4.74521874e+01 
 1.07000000e-04  5.24311298e+00  2.54618184e+00  3.61098646e-01 -4.73597958e+01 
 1.08000000e-04  5.17422957e+00  2.54449075e+00  3.60873908e-01 -4.72613220e+01 
 1.09000000e-04  5.10563165e+00  2.54250066e+00  3.60609299e-01 -4.71569601e+01 
 1.10000000e-04  5.03732755e+00  2.54021421e+00  3.60305171e-01 -4.70467721e+01 
 1.11000000e-04  4.96932361e+00  2.53763610e+00  3.59962150e-01 -4.69308605e+01 
 1.12000000e-04  4.90162602e+00  2.53477098e+00  3.59580859e-01 -4.68093271e+01 
 1.13000000e-04  4.83424086e+00  2.53162352e+00  3.59161917e-01 -4.66822730e+01 
