 time            v(vout)         v(vinf)         v(en)           i(L1)          
 0.00000000e+00  5.10499956e+00 -3.66748881e-07  4.12063282e-05 -6.03707454e-07 
 8.80000000e-05  2.78778011e+00  1.12728783e+00  5.90569668e-02 -1.96975564e+01 
 8.90000000e-05  2.75752633e+00  1.13025864e+00  5.90647520e-02 -1.97044793e+01 
 9.00000000e-05  2.72734661e+00  1.13306098e+00  5.90720747e-02 -1.97080525e+01 
 9.10000000e-05  2.69724482e+00  1.13569691e+00  5.90789439e-02 -1.97083252e+01 
 9.20000000e-05  2.66722471e+00  1.13816848e+00  5.90853684e-02 -1.97053467e+01 
 9.30000000e-05  2.63729001e+00  1.14047772e+00  5.90913569e-02 -1.96991657e+01 
 9.40000000e-05  2.60744435e+00  1.14262668e+00  5.90969174e-02 -1.96898312e+01 
 9.50000000e-05  2.57769129e+00  1.14461739e+00  5.91020580e-02 -1.96773915e+01 
 9.60000000e-05  2.54803435e+00  1.14645188e+00  5.91067862e-02 -1.96618951e+01 
 9.70000000e-05  2.51847693e+00  1.14813216e+00  5.91111095e-02 -1.96433899e+01 
 9.80000000e-05  2.48902243e+00  1.14966028e+00  5.91150352e-02 -1.96219239e+01 
 9.90000000e-05  2.45967412e+00  1.15103823e+00  5.91185700e-02 -1.95975447e+01 
 1.00000000e-04  2.43043524e+00  1.15226802e+00  5.91217208e-02 -1.95702996e+01 
 1.01000000e-04  2.40130896e+00  1.15335167e+00  5.91244940e-02 -1.95402360e+01 
 1.02000000e-04  2.37229838e+00  1.15429117e+00  5.91268960e-02 -1.95074006e+01 
 1.03000000e-04  2.34340653e+00  1.15508851e+00  5.91289328e-02 -1.94718402e+01 
 1.04000000e-04  2.31463638e+00  1.15574568e+00  5.91306103e-02 -1.94336013e+01 
 1.05000000e-04  2.28599083e+00  1.15626466e+00  5.91319344e-02 -1.93927300e+01 
 1.06000000e-04  2.25747273e+00  1.15664742e+00  5.91329105e-02 -1.93492722e+01 
 1.07000000e-04  2.22908463e+00  1.15689611e+00  5.91335446e-02 -1.93032773e+01 
 1.08000000e-04  2.20083058e+00  1.15701143e+00  5.91338386e-02 -1.92547667e+01 
 1.09000000e-04  2.17271125e+00  1.15699730e+00  5.91338027e-02 -1.92038227e+01 
 1.10000000e-04  2.14473011e+00  1.15685476e+00  5.91334395e-02 -1.91504734e+01 
 1.11000000e-04  2.11688968e+00  1.15658576e+00  5.91327538e-02 -1.90947633e+01 
 1.12000000e-04  2.08919243e+00  1.15619221e+00  5.91317503e-02 -1.90367367e+01 
 1.13000000e-04  2.06164078e+00  1.15567604e+00  5.91304335e-02 -1.89764377e+01 
 1.14000000e-04  2.03423707e+00  1.15503916e+00  5.91288079e-02 -1.89139101e+01 
 1.15000000e-04  2.00698359e+00  1.15428346e+00  5.91268776e-02 -1.88491973e+01 
 1.16000000e-04  1.97988257e+00  1.15341085e+00  5.91246469e-02 -1.87823424e+01 
 1.17000000e-04  1.95293619e+00  1.15242320e+00  5.91221198e-02 -1.87133885e+01 
 1.18000000e-04  1.92614657e+00  1.15132239e+00  5.91193003e-02 -1.86423780e+01 
 1.19000000e-04  1.89951575e+00  1.15011029e+00  5.91161922e-02 -1.85693533e+01 
 1.20000000e-04  1.87304574e+00  1.14878874e+00  5.91127993e-02 -1.84943564e+01 
 1.21000000e-04  1.84673849e+00  1.14735961e+00  5.91091252e-02 -1.84174289e+01 
 1.22000000e-04  1.82059588e+00  1.14582471e+00  5.91051734e-02 -1.83386123e+01 
 1.23000000e-04  1.79461975e+00  1.14418589e+00  5.91009475e-02 -1.82579476e+01 
 1.24000000e-04  1.76881188e+00  1.14244495e+00  5.90964507e-02 -1.81754757e+01 
 1.25000000e-04  1.74317399e+00  1.14060370e+00  5.90916865e-02 -1.80912370e+01 
 1.26000000e-04  1.71770775e+00  1.13866394e+00  5.90866580e-02 -1.80052716e+01 
 1.27000000e-04  1.69241479e+00  1.13662745e+00  5.90813683e-02 -1.79176194e+01 
 1.28000000e-04  1.66729667e+00  1.13449600e+00  5.90758205e-02 -1.78283199e+01 
 1.29000000e-04  1.64235490e+00  1.13227137e+00  5.90700176e-02 -1.77374123e+01 
 1.30000000e-04  1.61759095e+00  1.12995529e+00  5.90639625e-02 -1.76449355e+01 
 1.31000000e-04  1.59300623e+00  1.12754952e+00  5.90576580e-02 -1.75509281e+01 
 1.32000000e-04  1.56860209e+00  1.12505578e+00  5.90511070e-02 -1.74554282e+01 
 1.33000000e-04  1.54437986e+00  1.12247579e+00  5.90443121e-02 -1.73584739e+01 
 1.34000000e-04  1.52034078e+00  1.11981125e+00  5.90372760e-02 -1.72601027e+01 
 1.35000000e-04  1.49648608e+00  1.11706387e+00  5.90300013e-02 -1.71603519e+01 
 1.36000000e-04  1.47281692e+00  1.11423533e+00  5.90224906e-02 -1.70592584e+01 
 1.37000000e-04  1.44933441e+00  1.11132730e+00  5.90147463e-02 -1.69568587e+01 
 1.38000000e-04  1.42603962e+00  1.10834144e+00  5.90067709e-02 -1.68531893e+01 
 1.39000000e-04  1.40293359e+00  1.10527940e+00  5.89985667e-02 -1.67482860e+01 
 1.40000000e-04  1.38001727e+00  1.10214281e+00  5.89901361e-02 -1.66421844e+01 
 1.41000000e-04  1.35729161e+00  1.09893330e+00  5.89814813e-02 -1.65349198e+01 
 1.42000000e-04  1.33475749e+00  1.09565249e+00  5.89726047e-02 -1.64265272e+01 
 1.43000000e-04  1.31241575e+00  1.09230197e+00  5.89635083e-02 -1.63170411e+01 
 1.44000000e-04  1.29026719e+00  1.08888332e+00  5.89541943e-02 -1.62064959e+01 
 1.45000000e-04  1.26831256e+00  1.08539813e+00  5.89446649e-02 -1.60949254e+01 
 1.46000000e-04  1.24655256e+00  1.08184795e+00  5.89349221e-02 -1.59823633e+01 
