 time            v(vout)         v(vinf)         v(en)           i(L1)          
 2.13000000e-04  1.15084043e-09  1.29822420e-01  3.80568214e-02  1.31119506e-08 
 2.14000000e-04  1.17373369e-09  1.31443555e-01  3.82692904e-02  1.32756845e-08 
 2.15000000e-04  1.19687183e-09  1.33067806e-01  3.84818614e-02  1.34397329e-08 
 2.16000000e-04  1.22025518e-09  1.34695136e-01  3.86945032e-02  1.36040925e-08 
 2.17000000e-04  1.24388406e-09  1.36325511e-01  3.89071823e-02  1.37687595e-08 
 2.18000000e-04  1.26775879e-09  1.37958898e-01  3.91198636e-02  1.39337307e-08 
 2.19000000e-04  1.29187969e-09  1.39595262e-01  3.93325092e-02  1.40990026e-08 
 2.20000000e-04  1.31624707e-09  1.41234572e-01  3.95450793e-02  1.42645720e-08 
 2.21000000e-04  1.34086124e-09  1.42876796e-01  3.97575312e-02  1.44304357e-08 
 2.22000000e-04  1.36572250e-09  1.44521905e-01  3.99698197e-02  1.45965908e-08 
 2.23000000e-04  1.39083116e-09  1.46169869e-01  4.01818967e-02  1.47630342e-08 
 2.24000000e-04  1.41618753e-09  1.47820658e-01  4.03937110e-02  1.49297630e-08 
 2.25000000e-04  1.44179190e-09  1.49474246e-01  4.06052086e-02  1.50967744e-08 
 2.26000000e-04  1.46764456e-09  1.51130604e-01  4.08163320e-02  1.52640656e-08 
 2.27000000e-04  1.49374582e-09  1.52789707e-01  4.10270205e-02  1.54316339e-08 
 2.28000000e-04  1.52009596e-09  1.54451527e-01  4.12372098e-02  1.55994768e-08 
 2.29000000e-04  1.54669527e-09  1.56116041e-01  4.14468325e-02  1.57675917e-08 
 2.30000000e-04  1.57354404e-09  1.57783224e-01  4.16558174e-02  1.59359760e-08 
 2.31000000e-04  1.60064255e-09  1.59453051e-01  4.18640897e-02  1.61046275e-08 
 2.32000000e-04  1.62799109e-09  1.61125499e-01  4.20715714e-02  1.62735437e-08 
 2.33000000e-04  1.65558993e-09  1.62800546e-01  4.22781808e-02  1.64427223e-08 
 2.34000000e-04  1.68343935e-09  1.64478168e-01  4.24838330e-02  1.66121611e-08 
 2.35000000e-04  1.71153963e-09  1.66158346e-01  4.26884399e-02  1.67818578e-08 
 2.36000000e-04  1.73989104e-09  1.67841056e-01  4.28919108e-02  1.69518104e-08 
 2.37000000e-04  1.76849385e-09  1.69526279e-01  4.30941519e-02  1.71220168e-08 
 2.38000000e-04  1.79734833e-09  1.71213995e-01  4.32950673e-02  1.72924749e-08 
 2.39000000e-04  1.82645474e-09  1.72904184e-01  4.34945593e-02  1.74631828e-08 
 2.40000000e-04  1.85581336e-09  1.74596826e-01  4.36925287e-02  1.76341384e-08 
 2.41000000e-04  1.88542444e-09  1.76291903e-01  4.38888753e-02  1.78053400e-08 
 2.42000000e-04  1.91528825e-09  1.77989397e-01  4.40834986e-02  1.79767856e-08 
 2.43000000e-04  1.94540504e-09  1.79689289e-01  4.42762983e-02  1.81484734e-08 
 2.44000000e-04  1.97577508e-09  1.81391562e-01  4.44671751e-02  1.83204017e-08 
 2.45000000e-04  2.00639861e-09  1.83096199e-01  4.46560314e-02  1.84925687e-08 
 2.46000000e-04  2.03727590e-09  1.84803183e-01  4.48427717e-02  1.86649728e-08 
 2.47000000e-04  2.06840719e-09  1.86512498e-01  4.50273035e-02  1.88376123e-08 
 2.48000000e-04  2.09979273e-09  1.88224127e-01  4.52095384e-02  1.90104855e-08 
 2.49000000e-04  2.13143278e-09  1.89938056e-01  4.53893919e-02  1.91835909e-08 
 2.50000000e-04  2.16332758e-09  1.91654268e-01  4.55667849e-02  1.93569270e-08 
 2.51000000e-04  2.19547737e-09  1.93372749e-01  4.57416439e-02  1.95304921e-08 
 2.52000000e-04  2.22788241e-09  1.95093485e-01  4.59139013e-02  1.97042849e-08 
 2.53000000e-04  2.26054293e-09  1.96816459e-01  4.60834965e-02  1.98783039e-08 
 2.54000000e-04  2.29345917e-09  1.98541660e-01  4.62503757e-02  2.00525477e-08 
 2.55000000e-04  2.32663137e-09  2.00269072e-01  4.64144924e-02  2.02270149e-08 
 2.56000000e-04  2.36005978e-09  2.01998682e-01  4.65758076e-02  2.04017040e-08 
 2.57000000e-04  2.39374462e-09  2.03730478e-01  4.67342899e-02  2.05766138e-08 
 2.58000000e-04  2.42768613e-09  2.05464446e-01  4.68899155e-02  2.07517430e-08 
 2.59000000e-04  2.46188455e-09  2.07200573e-01  4.70426681e-02  2.09270903e-08 
 2.60000000e-04  2.49634011e-09  2.08938847e-01  4.71925389e-02  2.11026544e-08 
 2.61000000e-04  2.53105304e-09  2.10679256e-01  4.73395260e-02  2.12784341e-08 
 2.62000000e-04  2.56602356e-09  2.12421788e-01  4.74836343e-02  2.14544282e-08 
 2.63000000e-04  2.60125192e-09  2.14166431e-01  4.76248755e-02  2.16306356e-08 
 2.64000000e-04  2.63673832e-09  2.15913173e-01  4.77632670e-02  2.18070549e-08 
 2.65000000e-04  2.67248301e-09  2.17662004e-01  4.78988319e-02  2.19836852e-08 
 2.66000000e-04  2.70848619e-09  2.19412913e-01  4.80315987e-02  2.21605253e-08 
 2.67000000e-04  2.74474811e-09  2.21165888e-01  4.81616003e-02  2.23375740e-08 
 2.68000000e-04  2.78126897e-09  2.22920919e-01  4.82888740e-02  2.25148304e-08 
 2.69000000e-04  2.81804900e-09  2.24677995e-01  4.84134607e-02  2.26922934e-08 
 2.70000000e-04  2.85508843e-09  2.26437106e-01  4.85354045e-02  2.28699619e-08 
 2.71000000e-04  2.89238745e-09  2.28198243e-01  4.86547526e-02  2.30478349e-08 
 2.72000000e-04  2.92994631e-09  2.29961395e-01  4.87715541e-02  2.32259115e-08 
 2.73000000e-04  2.96776520e-09  2.31726553e-01  4.88858606e-02  2.34041906e-08 
 2.74000000e-04  3.00584435e-09  2.33493706e-01  4.89977248e-02  2.35826713e-08 
 2.75000000e-04  3.04418397e-09  2.35262847e-01  4.91072007e-02  2.37613526e-08 
 2.76000000e-04  3.08278427e-09  2.37033965e-01  4.92143434e-02  2.39402336e-08 
 2.77000000e-04  3.12164547e-09  2.38807051e-01  4.93192083e-02  2.41193135e-08 
 2.78000000e-04  3.16076777e-09  2.40582098e-01  4.94218513e-02  2.42985912e-08 
 2.79000000e-04  3.20015139e-09  2.42359095e-01  4.95223282e-02  2.44780660e-08 
