 2.00000000e-07 -1.19165707e-23  2.00000000e-07 -3.21501840e-23  2.00000000e-07  0.00000000e+00  2.00000000e-07 -1.40453453e-22  2.00000000e-07 -2.16262473e-27  2.00000000e-07 -7.20164121e-23  2.00000000e-07  0.00000000e+00 
 6.57920051e-03  1.27727246e+01  6.57920051e-03  1.00029739e+01  6.57920051e-03  5.10000000e+00  6.57920051e-03  3.71416955e+01  6.57920051e-03  5.34481339e-08  6.57920051e-03  1.93067784e+01  6.57920051e-03  1.18895428e+01 
 6.77920051e-03  1.27367506e+01  6.77920051e-03  9.96746034e+00  6.77920051e-03  5.10000000e+00  6.77920051e-03  3.72576085e+01  6.77920051e-03  4.85550149e-08  6.77920051e-03  1.93067012e+01  6.77920051e-03  1.18546481e+01 
 6.94674569e-03  1.27066942e+01  6.94674569e-03  9.93761199e+00  6.94674569e-03  5.10000000e+00  6.94674569e-03  3.72629596e+01  6.94674569e-03  4.73108815e-08  6.94674569e-03  1.93066365e+01  6.94674569e-03  1.18254934e+01 
 7.14674569e-03  1.26709107e+01  7.14674569e-03  9.90186397e+00  7.14674569e-03  5.10000000e+00  7.14674569e-03  3.72627337e+01  7.14674569e-03  4.72997163e-08  7.14674569e-03  1.93065592e+01  7.14674569e-03  1.17907834e+01 
 7.34674569e-03  1.26352305e+01  7.34674569e-03  9.86598642e+00  7.34674569e-03  5.10000000e+00  7.34674569e-03  3.72625078e+01  7.34674569e-03  4.72864294e-08  7.34674569e-03  1.93064820e+01  7.34674569e-03  1.17561736e+01 
 7.54674569e-03  1.25996533e+01  7.54674569e-03  9.82997793e+00  7.54674569e-03  5.10000000e+00  7.54674569e-03  3.72622820e+01  7.54674569e-03  4.72749691e-08  7.54674569e-03  1.93064047e+01  7.54674569e-03  1.17216637e+01 
 7.74674569e-03  1.25641786e+01  7.74674569e-03  9.79383705e+00  7.74674569e-03  5.10000000e+00  7.74674569e-03  3.72620561e+01  7.74674569e-03  4.72687312e-08  7.74674569e-03  1.93063275e+01  7.74674569e-03  1.16872533e+01 
 7.94674569e-03  1.25288064e+01  7.94674569e-03  9.75756231e+00  7.94674569e-03  5.10000000e+00  7.94674569e-03  3.72618303e+01  7.94674569e-03  4.72695327e-08  7.94674569e-03  1.93062503e+01  7.94674569e-03  1.16529422e+01 
 8.14674569e-03  1.24935362e+01  8.14674569e-03  9.72115221e+00  8.14674569e-03  5.10000000e+00  8.14674569e-03  3.72616044e+01  8.14674569e-03  4.72770624e-08  8.14674569e-03  1.93061730e+01  8.14674569e-03  1.16187301e+01 
 8.34674569e-03  1.24583678e+01  8.34674569e-03  9.68460523e+00  8.34674569e-03  5.10000000e+00  8.34674569e-03  3.72613786e+01  8.34674569e-03  4.72889754e-08  8.34674569e-03  1.93060958e+01  8.34674569e-03  1.15846168e+01 
 8.54674569e-03  1.24233008e+01  8.54674569e-03  9.64791980e+00  8.54674569e-03  5.10000000e+00  8.54674569e-03  3.72611528e+01  8.54674569e-03  4.73016019e-08  8.54674569e-03  1.93060186e+01  8.54674569e-03  1.15506018e+01 
 8.74674569e-03  1.23883351e+01  8.74674569e-03  9.61109435e+00  8.74674569e-03  5.10000000e+00  8.74674569e-03  3.72609270e+01  8.74674569e-03  4.73110568e-08  8.74674569e-03  1.93059413e+01  8.74674569e-03  1.15166850e+01 
 8.94674569e-03  1.23534702e+01  8.94674569e-03  9.57412726e+00  8.94674569e-03  5.10000000e+00  8.94674569e-03  3.72607011e+01  8.94674569e-03  4.73144140e-08  8.94674569e-03  1.93058641e+01  8.94674569e-03  1.14828661e+01 
 9.14674569e-03  1.23187059e+01  9.14674569e-03  9.53701688e+00  9.14674569e-03  5.10000000e+00  9.14674569e-03  3.72604753e+01  9.14674569e-03  4.73105908e-08  9.14674569e-03  1.93057869e+01  9.14674569e-03  1.14491447e+01 
 9.34674569e-03  1.22840419e+01  9.34674569e-03  9.49976154e+00  9.34674569e-03  5.10000000e+00  9.34674569e-03  3.72602496e+01  9.34674569e-03  4.73006755e-08  9.34674569e-03  1.93057096e+01  9.34674569e-03  1.14155207e+01 
 9.54674569e-03  1.22494780e+01  9.54674569e-03  9.46235951e+00  9.54674569e-03  5.10000000e+00  9.54674569e-03  3.72600238e+01  9.54674569e-03  4.72875981e-08  9.54674569e-03  1.93056324e+01  9.54674569e-03  1.13819936e+01 
 9.74674569e-03  1.22150137e+01  9.74674569e-03  9.42480906e+00  9.74674569e-03  5.10000000e+00  9.74674569e-03  3.72597981e+01  9.74674569e-03  4.72752461e-08  9.74674569e-03  1.93055552e+01  9.74674569e-03  1.13485633e+01 
 9.94443733e-03  1.21810450e+01  9.94443733e-03  9.38754439e+00  9.94443733e-03  5.10000000e+00  9.94443733e-03  3.72826199e+01  9.94443733e-03  4.99443027e-08  9.94443733e-03  1.93054789e+01  9.94443733e-03  1.13156136e+01 
 1.01444373e-02  1.21467782e+01  1.01444373e-02  9.34969347e+00  1.01444373e-02  5.10000000e+00  1.01444373e-02  3.74368447e+01  1.01444373e-02  5.47425354e-08  1.01444373e-02  1.93054016e+01  1.01444373e-02  1.12823749e+01 
 1.03444373e-02  1.21128737e+01  1.03444373e-02  9.31168869e+00  1.03444373e-02  5.10000000e+00  1.03444373e-02  3.77296186e+01  1.03444373e-02  5.92535418e-08  1.03444373e-02  1.93053244e+01  1.03444373e-02  1.12494875e+01 
 1.05444373e-02  1.21110999e+01  1.05444373e-02  9.27352817e+00  1.05444373e-02  5.10000000e+00  1.05444373e-02  3.81478282e+01  1.05444373e-02  6.33979257e-08  1.05444373e-02  1.93052472e+01  1.05444373e-02  1.12477669e+01 
 1.07444373e-02  1.21717287e+01  1.07444373e-02  9.23575752e+00  1.07444373e-02  5.10000000e+00  1.07444373e-02  3.86774228e+01  1.07444373e-02  6.71379631e-08  1.07444373e-02  1.93051700e+01  1.07444373e-02  1.13065769e+01 
 1.09444373e-02  1.22875297e+01  1.09444373e-02  9.23083655e+00  1.09444373e-02  5.10000000e+00  1.09444373e-02  3.93039372e+01  1.09444373e-02  7.04500718e-08  1.09444373e-02  1.93050928e+01  1.09444373e-02  1.14189038e+01 
 1.11444373e-02  1.24491051e+01  1.11444373e-02  9.28964353e+00  1.11444373e-02  5.10000000e+00  1.11444373e-02  4.00126687e+01  1.11444373e-02  7.33199488e-08  1.11444373e-02  1.93050162e+01  1.11444373e-02  1.15756320e+01 
 1.13444373e-02  1.26470363e+01  1.13444373e-02  9.40123701e+00  1.13444373e-02  5.10000000e+00  1.13444373e-02  4.07887875e+01  1.13444373e-02  7.57407174e-08  1.13444373e-02  1.93174962e+01  1.13444373e-02  1.17676252e+01 
 1.15444373e-02  1.28721734e+01  1.15444373e-02  9.55139385e+00  1.15444373e-02  5.10000000e+00  1.15444373e-02  4.16174274e+01  1.15444373e-02  7.77117148e-08  1.15444373e-02  1.94010401e+01  1.15444373e-02  1.19860082e+01 
 1.17444373e-02  1.31159088e+01  1.17444373e-02  9.72665815e+00  1.17444373e-02  5.10000000e+00  1.17444373e-02  4.24837677e+01  1.17444373e-02  7.92374694e-08  1.17444373e-02  1.95503808e+01  1.17444373e-02  1.20000000e+01 
 1.19444373e-02  1.33700786e+01  1.19444373e-02  9.91481087e+00  1.19444373e-02  5.10000000e+00  1.19444373e-02  4.33731115e+01  1.19444373e-02  8.03266426e-08  1.19444373e-02  1.97425418e+01  1.19444373e-02  1.20000000e+01 
 1.21444373e-02  1.36267185e+01  1.21444373e-02  1.01049250e+01  1.21444373e-02  5.10000000e+00  1.21444373e-02  4.42709613e+01  1.21444373e-02  8.09908820e-08  1.21444373e-02  1.99558140e+01  1.21444373e-02  1.20000000e+01 
 1.23444373e-02  1.38783083e+01  1.23444373e-02  1.02873259e+01  1.23444373e-02  5.10000000e+00  1.23444373e-02  4.51630931e+01  1.23444373e-02  8.12436240e-08  1.23444373e-02  2.01707806e+01  1.23444373e-02  1.20000000e+01 
 1.25444373e-02  1.41177921e+01  1.25444373e-02  1.04535289e+01  1.25444373e-02  5.10000000e+00  1.25444373e-02  4.60356287e+01  1.25444373e-02  8.10989477e-08  1.25444373e-02  2.03703915e+01  1.25444373e-02  1.20000000e+01 
 1.27444373e-02  1.43385954e+01  1.27444373e-02  1.05961818e+01  1.27444373e-02  5.10000000e+00  1.27444373e-02  4.68751064e+01  1.27444373e-02  8.05706051e-08  1.27444373e-02  2.05399044e+01  1.27444373e-02  1.20000000e+01 
 1.29444373e-02  1.45346422e+01  1.29444373e-02  1.07090313e+01  1.29444373e-02  5.10000000e+00  1.29444373e-02  4.76685493e+01  1.29444373e-02  7.96713404e-08  1.29444373e-02  2.06668947e+01  1.29444373e-02  1.20000000e+01 
