 time                v(vout)             v(vinf)             v(en)               i(L1)              
 2.700000000000e-05  4.888069507212e+00  4.412605850479e-07  1.033082938993e+00 -3.369805149991e-01 
 2.800000000000e-05  4.886733666030e+00  4.260580828845e-07  1.036317289415e+00 -3.104736215091e-01 
 2.900000000000e-05  4.885471052662e+00  4.100767838860e-07  1.039280359998e+00 -2.825127212105e-01 
 3.000000000000e-05  4.884280222597e+00  3.934183651383e-07  1.041958414116e+00 -2.532585988498e-01 
 3.100000000000e-05  4.883159358308e+00  3.761875725170e-07  1.044339346334e+00 -2.228778820348e-01 
 3.200000000000e-05  4.882106273905e+00  3.584921012818e-07  1.046412737913e+00 -1.915424809956e-01 
 3.300000000000e-05  4.881118416295e+00  3.404426446807e-07  1.048169907677e+00 -1.594292518384e-01 
 3.400000000000e-05  4.880192857483e+00  3.221532691836e-07  1.049603961603e+00 -1.267201474414e-01 
 3.500000000000e-05  4.879326264391e+00  3.037425424707e-07  1.050709848829e+00 -9.360355828008e-02 
 3.600000000000e-05  4.878514802714e+00  2.853368557640e-07  1.051484445236e+00 -6.027921223250e-02 
 3.700000000000e-05  4.877753768960e+00  2.670834742712e-07  1.051926744089e+00 -2.697898574185e-02 
 3.800000000000e-05  4.876993705068e+00  2.528065151554e-07  1.052045077005e+00 -4.616879819612e-04 
 3.900000000000e-05  4.875641042716e+00  2.550682053110e-07  1.052044707649e+00 -2.479889207015e-04 
 4.000000000000e-05  4.874222295736e+00  2.575582684769e-07  1.052044338944e+00  6.672044590536e-05 
 4.100000000000e-05  4.872803588596e+00  2.602991562230e-07  1.052043970080e+00  9.429285309134e-05 
 4.200000000000e-05  4.871384767735e+00  2.633159610626e-07  1.052043601308e+00  4.151824348014e-06 
 4.300000000000e-05  4.869966097420e+00  2.666366995851e-07  1.052043232627e+00 -3.122841900089e-05 
 4.400000000000e-05  4.868547930646e+00  2.702926551769e-07  1.052042863796e+00 -1.364910416400e-05 
 4.500000000000e-05  4.867130278016e+00  2.743187931730e-07  1.052042494996e+00  2.561058303943e-06 
 4.600000000000e-05  4.865713044500e+00  2.787543629648e-07  1.052042126267e+00  2.630757601690e-06 
 4.700000000000e-05  4.864296196505e+00  2.836433027239e-07  1.052041757488e+00 -1.637825645716e-06 
 4.800000000000e-05  4.862879751548e+00  2.890350586327e-07  1.052041388738e+00 -2.427123598079e-06 
 4.900000000000e-05  4.861463721249e+00  2.949854820303e-07  1.052041020034e+00 -2.213300488877e-06 
 5.000000000000e-05  4.860048109513e+00  3.015607651271e-07  1.052040651285e+00 -2.285304727327e-06 
 5.100000000000e-05  4.858632907243e+00  3.088241881554e-07  1.052040282557e+00 -2.283218633454e-06 
 5.200000000000e-05  4.857218117060e+00  3.168591435182e-07  1.052039913818e+00 -2.282975619097e-06 
 5.300000000000e-05  4.855803738850e+00  3.257558217133e-07  1.052039545084e+00 -2.282721726740e-06 
 5.400000000000e-05  4.854389772493e+00  3.356163350761e-07  1.052039176355e+00 -2.282467106714e-06 
 5.500000000000e-05  4.852976217869e+00  3.465564172335e-07  1.052038807631e+00 -2.282212540542e-06 
 5.600000000000e-05  4.851563074858e+00  3.587073965709e-07  1.052038438912e+00 -2.281958087367e-06 
 5.700000000000e-05  4.850150343341e+00  3.722184753217e-07  1.052038070199e+00 -2.281703698300e-06 
 5.800000000000e-05  4.848738023197e+00  3.872593635619e-07  1.052037701490e+00 -2.281449366628e-06 
