 time                v(vout)             v(vinf)             v(en)               i(L1)              
 0.000000000000e+00  1.199999975574e+01 -7.003132139972e-07  5.187765956654e-05 -4.107311702199e-07 
 5.000000000000e-05  9.359301564670e+00  1.983366961088e+00  6.023166257263e-02 -3.958305263012e+01 
 5.100000000000e-05  9.289798346034e+00  2.007120041643e+00  6.026741911861e-02 -4.000762469008e+01 
 5.200000000000e-05  9.219950198562e+00  2.030283520801e+00  6.030182385255e-02 -4.041974304545e+01 
 5.300000000000e-05  9.149773054301e+00  2.052862417928e+00  6.033493048411e-02 -4.081952577737e+01 
 5.400000000000e-05  9.079282663408e+00  2.074861769878e+00  6.036678936723e-02 -4.120709115829e+01 
 5.500000000000e-05  9.008494594349e+00  2.096286629964e+00  6.039744777248e-02 -4.158255763091e+01 
 5.600000000000e-05  8.937424234137e+00  2.117142066940e+00  6.042695013246e-02 -4.194604378744e+01 
 5.700000000000e-05  8.866086788587e+00  2.137433163991e+00  6.045533826328e-02 -4.229766834910e+01 
 5.800000000000e-05  8.794497282599e+00  2.157165017742e+00  6.048265156465e-02 -4.263755014591e+01 
 5.900000000000e-05  8.722670560464e+00  2.176342737272e+00  6.050892720151e-02 -4.296580809668e+01 
 6.000000000000e-05  8.650621286194e+00  2.194971443147e+00  6.053420026859e-02 -4.328256118940e+01 
 6.100000000000e-05  8.578363943874e+00  2.213056266453e+00  6.055850394045e-02 -4.358792846174e+01 
 6.200000000000e-05  8.505912838037e+00  2.230602347859e+00  6.058186960770e-02 -4.388202898193e+01 
 6.300000000000e-05  8.433282094068e+00  2.247614836671e+00  6.060432700180e-02 -4.416498182989e+01 
 6.400000000000e-05  8.360485658617e+00  2.264098889919e+00  6.062590430883e-02 -4.443690607857e+01 
 6.500000000000e-05  8.287537300045e+00  2.280059671436e+00  6.064662827379e-02 -4.469792077560e+01 
 6.600000000000e-05  8.214450608889e+00  2.295502350965e+00  6.066652429618e-02 -4.494814492526e+01 
 6.700000000000e-05  8.141238998342e+00  2.310432103269e+00  6.068561651778e-02 -4.518769747057e+01 
 6.800000000000e-05  8.067915704762e+00  2.324854107257e+00  6.070392790349e-02 -4.541669727580e+01 
 6.900000000000e-05  7.994493788196e+00  2.338773545116e+00  6.072148031551e-02 -4.563526310915e+01 
 7.000000000000e-05  7.920986132924e+00  2.352195601466e+00  6.073829458203e-02 -4.584351362572e+01 
 7.100000000000e-05  7.847405772840e+00  2.365128707802e+00  6.075439522597e-02 -4.604163443785e+01 
 7.200000000000e-05  7.773764414550e+00  2.377571035455e+00  6.076979104999e-02 -4.622959877947e+01 
 7.300000000000e-05  7.700075030766e+00  2.389532036623e+00  6.078450633038e-02 -4.640761321153e+01 
 7.400000000000e-05  7.626349700912e+00  2.401016402699e+00  6.079855763868e-02 -4.657578549203e+01 
 7.500000000000e-05  7.552600438653e+00  2.412029317831e+00  6.081196149223e-02 -4.673423345857e+01 
 7.600000000000e-05  7.478839086162e+00  2.422575963988e+00  6.082473369034e-02 -4.688307474470e+01 
 7.700000000000e-05  7.405077314189e+00  2.432661519937e+00  6.083688935461e-02 -4.702242675906e+01 
 7.800000000000e-05  7.331326622745e+00  2.442291160484e+00  6.084844296593e-02 -4.715240667028e+01 
 7.900000000000e-05  7.257598341807e+00  2.451470055729e+00  6.085940839961e-02 -4.727313139236e+01 
 8.000000000000e-05  7.183903632041e+00  2.460203370329e+00  6.086979895779e-02 -4.738471757014e+01 
 8.100000000000e-05  7.110253485541e+00  2.468496262775e+00  6.087962739973e-02 -4.748728156517e+01 
 8.200000000000e-05  7.036658726583e+00  2.476353884682e+00  6.088890597015e-02 -4.758093944171e+01 
 8.300000000000e-05  6.963130012391e+00  2.483781380086e+00  6.089764642573e-02 -4.766580695304e+01 
 8.400000000000e-05  6.889677833924e+00  2.490783884759e+00  6.090586006003e-02 -4.774199952802e+01 
 8.500000000000e-05  6.816312516674e+00  2.497366525526e+00  6.091355772650e-02 -4.780963225786e+01 
 8.600000000000e-05  6.743044221498e+00  2.503534468159e+00  3.572801658836e-01 -4.786881988133e+01 
 8.700000000000e-05  6.669882945492e+00  2.509292762620e+00  3.561647198341e-01 -4.791967677234e+01 
 8.800000000000e-05  6.596838522637e+00  2.514646487718e+00  3.568791989345e-01 -4.796231693508e+01 
 8.900000000000e-05  6.523920624765e+00  2.519600744143e+00  3.575405710608e-01 -4.799685398467e+01 
 9.000000000000e-05  6.451138762464e+00  2.524160610344e+00  3.581493534270e-01 -4.802340113509e+01 
 9.100000000000e-05  6.378502285936e+00  2.528331148032e+00  3.587062226382e-01 -4.804207118811e+01 
 9.200000000000e-05  6.306020385880e+00  2.532117404142e+00  3.592118515364e-01 -4.805297652204e+01 
 9.300000000000e-05  6.233702094396e+00  2.535524411147e+00  3.596669110358e-01 -4.805622908047e+01 
 9.400000000000e-05  6.161556285890e+00  2.538557186805e+00  3.600720700887e-01 -4.805194036128e+01 
 9.500000000000e-05  6.089591678005e+00  2.541220733695e+00  3.604279956262e-01 -4.804022140579e+01 
 9.600000000000e-05  6.017816832555e+00  2.543520038705e+00  3.607353524883e-01 -4.802118278819e+01 
 9.700000000000e-05  5.946240156464e+00  2.545460072498e+00  3.609948033533e-01 -4.799493460512e+01 
 9.800000000000e-05  5.874869902732e+00  2.547045788977e+00  3.612070086665e-01 -4.796158646556e+01 
 9.900000000000e-05  5.803714171396e+00  2.548282124766e+00  3.613726265708e-01 -4.792124748088e+01 
 1.000000000000e-04  5.732780910506e+00  2.549173998564e+00  3.614923128226e-01 -4.787402625512e+01 
 1.010000000000e-04  5.662077917103e+00  2.549726305484e+00  3.615667200370e-01 -4.782003087586e+01 
 1.020000000000e-04  5.591612838227e+00  2.549943936039e+00  3.615965001967e-01 -4.775936890433e+01 
 1.030000000000e-04  5.521393171919e+00  2.549831750703e+00  3.615823013123e-01 -4.769214736636e+01 
 1.040000000000e-04  5.451426268228e+00  2.549394591328e+00  3.615247688964e-01 -4.761847274399e+01 
 1.050000000000e-04  5.381719330229e+00  2.548637280082e+00  3.614245458400e-01 -4.753845096671e+01 
 1.060000000000e-04  5.312279415053e+00  2.547564618651e+00  3.612822723048e-01 -4.745218740305e+01 
 1.070000000000e-04  5.243112975110e+00  2.546181841722e+00  3.610986461422e-01 -4.735979576970e+01 
 1.080000000000e-04  5.174229567258e+00  2.544490752443e+00  3.608739078308e-01 -4.726132204627e+01 
 1.090000000000e-04  5.105631653525e+00  2.542500661613e+00  3.606092986521e-01 -4.715696012774e+01 
 1.100000000000e-04  5.037327552461e+00  2.540214212527e+00  3.603051710168e-01 -4.704677213356e+01 
 1.110000000000e-04  4.969323606495e+00  2.537636096634e+00  3.599621503956e-01 -4.693086049818e+01 
 1.120000000000e-04  4.901626019090e+00  2.534770982643e+00  3.595808592294e-01 -4.680932705906e+01 
 1.130000000000e-04  4.834240855169e+00  2.531623515679e+00  3.591619168157e-01 -4.668227303971e+01 
 1.140000000000e-04  4.767174042190e+00  2.528198316897e+00  3.587059392578e-01 -4.654979904277e+01 
 1.150000000000e-04  4.700431371232e+00  2.524499983117e+00  3.582135394152e-01 -4.641200504344e+01 
 1.160000000000e-04  4.634018498089e+00  2.520533086458e+00  3.576853268558e-01 -4.626899038311e+01 
 1.170000000000e-04  4.567940944368e+00  2.516302173993e+00  3.571219078094e-01 -4.612085376308e+01 
 1.180000000000e-04  4.502204098590e+00  2.511811767405e+00  3.565238851214e-01 -4.596769323865e+01 
 1.190000000000e-04  4.436813217301e+00  2.507066362654e+00  3.558918582092e-01 -4.580960621325e+01 
