 time                v(vout)             v(vinf)             v(en)               i(L1)              
 0.000000000000e+00  1.199926846611e+01  2.618784163693e-04 -1.004299714660e-04 -1.011861675339e-05 
 5.700000000000e-05  3.939141887738e+00  2.685606568238e+00  3.797676866116e-01 -8.544262719341e+00 
 5.800000000000e-05  3.884722339855e+00  2.648766948747e+00  3.748551901406e-01 -8.594973145022e+00 
 5.900000000000e-05  3.831203793668e+00  2.612527407298e+00  3.700227126490e-01 -8.643566793719e+00 
 6.000000000000e-05  3.778571476452e+00  2.576878314872e+00  3.652689701306e-01 -8.690089275542e+00 
 6.100000000000e-05  3.726810852957e+00  2.541810196903e+00  3.605926991746e-01 -8.734585349055e+00 
 6.200000000000e-05  3.675907621575e+00  2.507313730841e+00  3.559926566409e-01 -8.777098935953e+00 
 6.300000000000e-05  3.625847693134e+00  2.473379706715e+00  6.110607186366e-02 -8.817673136534e+00 
 6.400000000000e-05  3.576617247990e+00  2.439999160420e+00  6.084571312083e-02 -8.856350241885e+00 
 6.500000000000e-05  3.528202661555e+00  2.407163197473e+00  6.080605213162e-02 -8.893171747670e+00 
 6.600000000000e-05  3.480590523635e+00  2.374863070570e+00  6.076645319326e-02 -8.928178369732e+00 
 6.700000000000e-05  3.433767644605e+00  2.343090180822e+00  6.072690605437e-02 -8.961410056881e+00 
 6.800000000000e-05  3.387721047439e+00  2.311836068712e+00  6.068741170274e-02 -8.992906003973e+00 
 6.900000000000e-05  3.342437963639e+00  2.281092410916e+00  6.064797114179e-02 -9.022704664870e+00 
 7.000000000000e-05  3.297905829775e+00  2.250851018054e+00  6.060858539059e-02 -9.050843765200e+00 
 7.100000000000e-05  3.254112284153e+00  2.221103832581e+00  6.056925548415e-02 -9.077360314888e+00 
 7.200000000000e-05  3.211045163534e+00  2.191842926726e+00  6.052998247359e-02 -9.102290620471e+00 
 7.300000000000e-05  3.168692499908e+00  2.163060500465e+00  6.049076742628e-02 -9.125670297201e+00 
 7.400000000000e-05  3.127042517315e+00  2.134748879528e+00  6.045161142609e-02 -9.147534280928e+00 
 7.500000000000e-05  3.086083628719e+00  2.106900513441e+00  6.041251557370e-02 -9.167916839777e+00 
 7.600000000000e-05  3.045804432921e+00  2.079507973598e+00  6.037348098663e-02 -9.186851585626e+00 
 7.700000000000e-05  3.006193711531e+00  2.052563951373e+00  6.033450879960e-02 -9.204371485365e+00 
 7.800000000000e-05  2.967240425970e+00  2.026061256256e+00  6.029560016472e-02 -9.220508871971e+00 
 7.900000000000e-05  2.928933714534e+00  1.999992814026e+00  6.025675625172e-02 -9.235295455378e+00 
 8.000000000000e-05  2.891262889487e+00  1.974351664956e+00  6.021797824827e-02 -9.248762333156e+00 
 8.100000000000e-05  2.854217434207e+00  1.949130962046e+00  6.017926736008e-02 -9.260940000995e+00 
 8.200000000000e-05  2.817787000370e+00  1.924323969295e+00  6.014062481131e-02 -9.271858363004e+00 
 8.300000000000e-05  2.781961405176e+00  1.899924059991e+00  6.010205184470e-02 -9.281546741823e+00 
 8.400000000000e-05  2.746730628615e+00  1.875924715045e+00  6.006354972197e-02 -9.290033888550e+00 
 8.500000000000e-05  2.712084810776e+00  1.852319521350e+00  6.002511972410e-02 -9.297347992491e+00 
 8.600000000000e-05  2.678014249187e+00  1.829102170166e+00  5.998676315149e-02 -9.303516690725e+00 
 8.700000000000e-05  2.644509396203e+00  1.806266455541e+00  5.994848132446e-02 -9.308567077495e+00 
 8.800000000000e-05  2.611559865585e+00  1.783805600793e+00  5.991027551993e-02 -9.312527571001e+00 
 8.900000000000e-05  2.579158425352e+00  1.761714965379e+00  5.987214724009e-02 -9.315420403275e+00 
 9.000000000000e-05  2.547294938270e+00  1.739987939997e+00  5.983409777205e-02 -9.317273085878e+00 
 9.100000000000e-05  2.515960465963e+00  1.718618724420e+00  5.979612853571e-02 -9.318110588866e+00 
 9.200000000000e-05  2.485146197084e+00  1.697601604057e+00  5.975824095591e-02 -9.317957426601e+00 
 9.300000000000e-05  2.454843459981e+00  1.676930958154e+00  5.972043647941e-02 -9.316837623904e+00 
 9.400000000000e-05  2.425043720490e+00  1.656601258512e+00  5.968271657553e-02 -9.314774723732e+00 
 9.500000000000e-05  2.395738579586e+00  1.636607068144e+00  5.964508273654e-02 -9.311791795226e+00 
 9.600000000000e-05  2.366919771065e+00  1.616943039957e+00  5.960753647822e-02 -9.307911441591e+00 
 9.700000000000e-05  2.338579159250e+00  1.597603915472e+00  5.957007934032e-02 -9.303155807831e+00 
 9.800000000000e-05  2.310708736735e+00  1.578584523572e+00  5.953271288729e-02 -9.297546588308e+00 
 9.900000000000e-05  2.283300622140e+00  1.559879779273e+00  5.949543870856e-02 -9.291105034162e+00 
 1.000000000000e-04  2.256347057789e+00  1.541484682153e+00  5.945825841888e-02 -9.283851960557e+00 
 1.010000000000e-04  2.229840405440e+00  1.523394311629e+00  5.942117365118e-02 -9.275807753966e+00 
 1.020000000000e-04  2.203773152734e+00  1.505603842636e+00  5.938418609220e-02 -9.266992378645e+00 
 1.030000000000e-04  2.178137899240e+00  1.488108519954e+00  5.934729743281e-02 -9.257425383702e+00 
 1.040000000000e-04  2.152927360619e+00  1.470903671472e+00  5.931050939813e-02 -9.247125909778e+00 
 1.050000000000e-04  2.128134365948e+00  1.453984705050e+00  5.927382374424e-02 -9.236112695465e+00 
 1.060000000000e-04  2.103751855331e+00  1.437347107090e+00  5.923724225821e-02 -9.224404083606e+00 
 1.070000000000e-04  2.079772877793e+00  1.420986441523e+00  5.920076675917e-02 -9.212018027448e+00 
 1.080000000000e-04  2.056190589212e+00  1.404898348878e+00  5.916439909933e-02 -9.198972096634e+00 
 1.090000000000e-04  2.032998250260e+00  1.389078545409e+00  5.912814116537e-02 -9.185283483044e+00 
 1.100000000000e-04  2.010189224367e+00  1.373522822250e+00  5.909199487999e-02 -9.170969006463e+00 
 1.110000000000e-04  1.987756975679e+00  1.358227044623e+00  5.905596220301e-02 -9.156045120082e+00 
 1.120000000000e-04  1.965695067029e+00  1.343187151079e+00  5.902004513334e-02 -9.140527915848e+00 
 1.130000000000e-04  1.943997157903e+00  1.328399152800e+00  5.898424571078e-02 -9.124433129630e+00 
 1.140000000000e-04  1.922657002408e+00  1.313859132937e+00  5.894856601781e-02 -9.107776146217e+00 
 1.150000000000e-04  1.901668447238e+00  1.299563246013e+00  5.891300818170e-02 -9.090572004132e+00 
 1.160000000000e-04  1.881025429628e+00  1.285507717371e+00  5.887757437726e-02 -9.072835400275e+00 
 1.170000000000e-04  1.860721975301e+00  1.271688842694e+00  5.884226682882e-02 -9.054580694373e+00 
 1.180000000000e-04  1.840752196393e+00  1.258102987574e+00  5.880708781349e-02 -9.035821913228e+00 
 1.190000000000e-04  1.821110289364e+00  1.244746587168e+00  5.877203966402e-02 -9.016572754777e+00 
 1.200000000000e-04  1.801790532882e+00  1.231616145914e+00  5.873712477240e-02 -8.996846591941e+00 
 1.210000000000e-04  1.782787285674e+00  1.218708237340e+00  5.870234559341e-02 -8.976656476247e+00 
 1.220000000000e-04  1.764094984343e+00  1.206019503950e+00  5.866770464884e-02 -8.956015141231e+00 
 1.230000000000e-04  1.745708141136e+00  1.193546657220e+00  5.863320453201e-02 -8.934935005601e+00 
 1.240000000000e-04  1.727621341668e+00  1.181286477690e+00  5.859884791279e-02 -8.913428176146e+00 
 1.250000000000e-04  1.709829242577e+00  1.169235815176e+00  5.856463754342e-02 -8.891506450374e+00 
 1.260000000000e-04  1.692326569111e+00  1.157391589114e+00  5.853057626419e-02 -8.869181318871e+00 
 1.270000000000e-04  1.675108112635e+00  1.145750789044e+00  5.849666701084e-02 -8.846463967356e+00 
 1.280000000000e-04  1.658168728040e+00  1.134310475250e+00  5.846291282185e-02 -8.823365278407e+00 
 1.290000000000e-04  1.641503331046e+00  1.123067779585e+00  5.842931684690e-02 -8.799895832846e+00 
 1.300000000000e-04  1.625106895375e+00  1.112019906486e+00  5.839588235666e-02 -8.776065910738e+00 
 1.310000000000e-04  1.608974449784e+00  1.101164134216e+00  5.836261275288e-02 -8.751885491990e+00 
 1.320000000000e-04  1.593101074932e+00  1.090497816352e+00  5.832951158070e-02 -8.727364256496e+00 
 1.330000000000e-04  1.577481900050e+00  1.080018383557e+00  5.829658254152e-02 -8.702511583807e+00 
 1.340000000000e-04  1.562112099406e+00  1.069723345671e+00  5.826382950817e-02 -8.677336552270e+00 
 1.350000000000e-04  1.546986888503e+00  1.059610294158e+00  5.823125654108e-02 -8.651847937567e+00 
 1.360000000000e-04  1.532101520002e+00  1.049676904971e+00  5.819886790780e-02 -8.626054210628e+00 
 1.370000000000e-04  1.517451279310e+00  1.039920941877e+00  5.816666810379e-02 -8.599963534818e+00 
 1.380000000000e-04  1.503031479781e+00  1.030340260329e+00  5.813466187651e-02 -8.573583762328e+00 
 1.390000000000e-04  1.488837457487e+00  1.020932811932e+00  5.810285425268e-02 -8.546922429689e+00 
 1.400000000000e-04  1.474864565474e+00  1.011696649631e+00  5.807125056918e-02 -8.519986752281e+00 
 1.410000000000e-04  1.461108167440e+00  1.002629933712e+00  5.803985650818e-02 -8.492783617730e+00 
 1.420000000000e-04  1.447563630734e+00  9.937309387262e-01  5.800867813710e-02 -8.465319578058e+00 
 1.430000000000e-04  1.434226318566e+00  9.849980615085e-01  5.797772195435e-02 -8.437600840395e+00 
 1.440000000000e-04  1.421091581312e+00  9.764298304488e-01  5.794699494205e-02 -8.409633256100e+00 
 1.450000000000e-04  1.408154746769e+00  9.680249162210e-01  5.791650462556e-02 -8.381422308030e+00 
 1.460000000000e-04  1.395411109168e+00  9.597821442074e-01  5.788625914262e-02 -8.352973095744e+00 
