 time                v(vout)             v(vinf)             v(buck_input)       v(comp)             i(L1)              
 9.485999999999e-03  8.835932937283e+00  8.790893674741e+00  8.895602566432e+00  1.751785937187e+00  5.103052249550e-01 
 9.486999999999e-03  8.835869906635e+00  8.790678108910e+00  8.895539110098e+00  1.748353632555e+00  5.103015849856e-01 
 9.487999999999e-03  8.835806876272e+00  8.790462548352e+00  8.895475654065e+00  1.745240047411e+00  5.102979450298e-01 
 9.488999999999e-03  8.835743846671e+00  8.790246993057e+00  8.895412198814e+00  1.742432139228e+00  5.102943051196e-01 
 9.489999999999e-03  8.835680817300e+00  8.790031443083e+00  8.895348743876e+00  1.739905659770e+00  5.102906652221e-01 
 9.490999999999e-03  8.835617788389e+00  8.789815898334e+00  8.895285289376e+00  1.737646425514e+00  5.102870253474e-01 
 9.491999999999e-03  8.835554759957e+00  8.789600358966e+00  8.895221835261e+00  1.735638793108e+00  5.102833854973e-01 
 9.492999999999e-03  8.835491732044e+00  8.789384824768e+00  8.895158381611e+00  1.733866995450e+00  5.102797456791e-01 
 9.493999999999e-03  8.835428704518e+00  8.789169296000e+00  8.895094928506e+00  1.732320854917e+00  5.102761058704e-01 
 9.494999999999e-03  8.835365677393e+00  8.788953772353e+00  8.895031475860e+00  1.730983077980e+00  5.102724660881e-01 
 9.495999999999e-03  8.835302650826e+00  8.788738254093e+00  8.894968023631e+00  1.729843026013e+00  5.102688263324e-01 
 9.496999999999e-03  8.835239624580e+00  8.788522741060e+00  8.894904571791e+00  1.728889168486e+00  5.102651865992e-01 
 9.497999999999e-03  8.835176598899e+00  8.788307233453e+00  8.894841120439e+00  1.728109840311e+00  5.102615468940e-01 
 9.498999999999e-03  8.835113573651e+00  8.788091731005e+00  8.894777669598e+00  1.727497379915e+00  5.102579072071e-01 
 9.499999999999e-03  8.835050548799e+00  8.787876233830e+00  8.894714219126e+00  1.727039527918e+00  5.102542675440e-01 
 9.500999999999e-03  8.834987524403e+00  8.787660741996e+00  8.894650769172e+00  1.726728171901e+00  5.102506279049e-01 
 9.501999999999e-03  8.834924500531e+00  8.787445255514e+00  8.894587319634e+00  1.726554210368e+00  5.102469882820e-01 
 9.502999999999e-03  8.834861477123e+00  8.787229774065e+00  8.894523870504e+00  1.726511171753e+00  5.102433486981e-01 
 9.503999999999e-03  8.834798453996e+00  8.787014298109e+00  8.894460422000e+00  1.726590892653e+00  5.102397091311e-01 
